Location,Positive_Cases,Last_updated,Last_updated_time
Westchester,380,3/17/2020,13:19
Nassau,131,3/17/2020,13:19
Suffolk,84,3/17/2020,13:19
Albany,23,3/17/2020,13:19
Rockland,22,3/17/2020,13:19
Dutchess,16,3/17/2020,13:19
Orange,15,3/17/2020,13:19
Monroe,10,3/17/2020,13:19
Saratoga,9,3/17/2020,13:19
Ulster,8,3/17/2020,13:19
Erie,7,3/17/2020,13:19
Schenectady,5,3/17/2020,13:19
Allegany,2,3/17/2020,13:19
Greene,2,3/17/2020,13:19
Putnam,2,3/17/2020,13:19
Onondaga,2,3/17/2020,13:19
Tompkins,2,3/17/2020,13:19
Broome,1,3/17/2020,13:19
Clinton,1,3/17/2020,13:19
Delaware,1,3/17/2020,13:19
Herkimer,1,3/17/2020,13:19
Tioga,1,3/17/2020,13:19
Montgomery,1,3/17/2020,13:19
Ontario,1,3/17/2020,13:19
Rensselaer,1,3/17/2020,13:19
Sullivan,1,3/17/2020,13:19
Wyoming,1,3/17/2020,13:19
New York State (Outside of NYC),730,3/17/2020,13:19
New York City,644,3/17/2020,13:19
Total Positive Cases (Statewide),"1,374",3/17/2020,13:19
Westchester,380,3/17/2020,20:15
Nassau,131,3/17/2020,20:15
Suffolk,84,3/17/2020,20:15
Albany,23,3/17/2020,20:15
Rockland,22,3/17/2020,20:15
Dutchess,16,3/17/2020,20:15
Orange,15,3/17/2020,20:15
Monroe,10,3/17/2020,20:15
Saratoga,9,3/17/2020,20:15
Ulster,8,3/17/2020,20:15
Erie,7,3/17/2020,20:15
Schenectady,5,3/17/2020,20:15
Allegany,2,3/17/2020,20:15
Greene,2,3/17/2020,20:15
Putnam,2,3/17/2020,20:15
Onondaga,2,3/17/2020,20:15
Tompkins,2,3/17/2020,20:15
Broome,1,3/17/2020,20:15
Clinton,1,3/17/2020,20:15
Delaware,1,3/17/2020,20:15
Herkimer,1,3/17/2020,20:15
Tioga,1,3/17/2020,20:15
Montgomery,1,3/17/2020,20:15
Ontario,1,3/17/2020,20:15
Rensselaer,1,3/17/2020,20:15
Sullivan,1,3/17/2020,20:15
Wyoming,1,3/17/2020,20:15
New York State (Outside of NYC),730,3/17/2020,20:15
New York City,644,3/17/2020,20:15
Total Positive Cases (Statewide),"1,374",3/17/2020,20:15
Westchester,220,3/16/2020,20:15
Albany,36,3/18/2020,14:05
Allegany,2,3/18/2020,14:05
Broome,1,3/18/2020,14:05
Chenango,1,3/18/2020,14:05
Clinton,1,3/18/2020,14:05
Delaware,1,3/18/2020,14:05
Dutchess,20,3/18/2020,14:05
Erie,7,3/18/2020,14:05
Essex,1,3/18/2020,14:05
Greene,2,3/18/2020,14:05
Hamilton,1,3/18/2020,14:05
Herkimer,1,3/18/2020,14:05
Monroe,14,3/18/2020,14:05
Montgomery,2,3/18/2020,14:05
Nassau,183,3/18/2020,14:05
New York City,"1,339",3/18/2020,14:05
Onondaga,2,3/18/2020,14:05
Ontario,1,3/18/2020,14:05
Orange,32,3/18/2020,14:05
Putnam,2,3/18/2020,14:05
Rensselaer,4,3/18/2020,14:05
Rockland,30,3/18/2020,14:05
Saratoga,14,3/18/2020,14:05
Schenectady,14,3/18/2020,14:05
Suffolk,116,3/18/2020,14:05
Sullivan,1,3/18/2020,14:05
Tioga,1,3/18/2020,14:05
Tompkins,3,3/18/2020,14:05
Ulster,9,3/18/2020,14:05
Warren,1,3/18/2020,14:05
Washington,1,3/18/2020,14:05
Westchester,538,3/18/2020,14:05
Wyoming,1,3/18/2020,14:05
Total Number of Positive Cases,"2,382",3/18/2020,14:05
Albany,36,3/18/2020,19:30
Allegany,2,3/18/2020,19:30
Broome,1,3/18/2020,19:30
Chenango,1,3/18/2020,19:30
Clinton,1,3/18/2020,19:30
Delaware,1,3/18/2020,19:30
Dutchess,20,3/18/2020,19:30
Erie,7,3/18/2020,19:30
Essex,1,3/18/2020,19:30
Greene,2,3/18/2020,19:30
Hamilton,1,3/18/2020,19:30
Herkimer,1,3/18/2020,19:30
Monroe,14,3/18/2020,19:30
Montgomery,2,3/18/2020,19:30
Nassau,183,3/18/2020,19:30
New York City,"1,339",3/18/2020,19:30
Onondaga,2,3/18/2020,19:30
Ontario,1,3/18/2020,19:30
Orange,32,3/18/2020,19:30
Putnam,2,3/18/2020,19:30
Rensselaer,4,3/18/2020,19:30
Rockland,30,3/18/2020,19:30
Saratoga,14,3/18/2020,19:30
Schenectady,14,3/18/2020,19:30
Suffolk,116,3/18/2020,19:30
Sullivan,1,3/18/2020,19:30
